ac_no,constituency,district,region_5way,reservation,2011 Assembly Actual Winner,2014 Lok Sabha AC/Segment Actual Winner,Historical Projection [2011-2014],2016 Assembly Actual Winner,2021 Assembly Actual Winner,Long-Term Trend [2014-2021],2021 Assembly Actual Winner For Swing,2024 Lok Sabha Actual Winner,2024 UDF Vote Share (%),2024 LDF Vote Share (%),2024 NDA Vote Share (%),Recent Swing [2021-2024]
129,Chirayinkeezhu,Thiruvananthapuram,South,Reserved,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,33.29,33.22,31.65,Shift LDF to UDF
130,Nedumangad,Thiruvananthapuram,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,33.29,33.22,31.65,Shift LDF to UDF
131,Vamanapuram,Thiruvananthapuram,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,37.19,26.05,35.97,Shift LDF to UDF
132,Kazhakoottam,Thiruvananthapuram,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,37.19,26.05,35.97,Shift LDF to UDF
133,Vattiyoorkavu,Thiruvananthapuram,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,37.19,26.05,35.97,Shift LDF to UDF
134,Thiruvananthapuram,Thiruvananthapuram,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,UDF,37.19,26.05,35.97,Shift LDF to UDF
135,Nemom,Thiruvananthapuram,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,NDA,LDF,Shift NDA to LDF,LDF,UDF,37.19,26.05,35.97,Shift LDF to UDF
136,Aruvikkara,Thiruvananthapuram,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,UDF,37.19,26.05,35.97,Shift LDF to UDF
137,Parassala,Thiruvananthapuram,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,37.19,26.05,35.97,Shift LDF to UDF
138,Kattakada,Thiruvananthapuram,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,37.19,26.05,35.97,Shift LDF to UDF
139,Kovalam,Thiruvananthapuram,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,37.19,26.05,35.97,Stable UDF
140,Neyyattinkara,Thiruvananthapuram,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,37.19,26.05,35.97,Shift LDF to UDF
